id,Vineyard,Sales (cases),Twitter Followers,Tweets,FB likes,FB Checkins
1,Cakebread Cellars,155,93600,20000,23615,24220
2,Kendall Jackson,3020,22600,6545,133060,1688
4,Stags Leap,110,0,0,3563,3004
5,E & J Gallo,12865,5,0,542,9282
6,CK Krug,85,557,37,3427,759
7,Sterling,1240,0,0,113605,36373
8,Duckhorn,75,18400,21000,17728,17945
9,Newton,65,4091,2092,409,15
10,Rodney Strong,825,4092,2092,15113,1542
11,Robert Mondavi,2775,9697,4520,29783,0
12,Franciscan,325,2109,1300,1408,852
13,Phelps,45,4255,7149,5399,11666
14,Beringer,1820,15800,3726,5848,24513
15,Jordan,45,4174,1303,14575,4803
16,Sonoma Cutrer,355,190,268,150037,na
17,Far Niente,35,801,132,6278,na
18,J Lohr,1145,3063,3549,23353,na
19,Grgich Hills,67,4074,3013,12115,na
20,Heitz,33,49,0,665,3394
21,Clos du Bois,1755,700,1324,61190,3850
22,St. Supery,155,11900,6588,8310,na
23,Ferrari Carano,350,5166,722,6208,9302
24,Sebastiani,460,2993,2585,15555,na
25,Raymond,225,5394,3179,4253,11670
26,Clos du Val,95,9345,2948,6638,1911
27,William Hill,30,43,0,3096,na
28,Louis Martini,700,na,na,8392,na
29,Sequoia Grove,24,514,233,1730,na
30,BV Beaulieu Estates,1210,1801,3167,40851,10763
31,Acacia,255,na,na,1137,na
32,Opus One,20,3878,2402,5883,25769
33,La Crema,660,20300,3308,195601,2306
34,Ravenswood,750,4186,475,1626,1794
35,Trefethen,50,3858,2638,6703,na
36,Estancia,823,99,2,67192,na
37,Cambria,42,2709,1482,54869,0
38,Kenwood,470,3007,6859,4797,0
39,Blackstone,970,718,39,132,409
40,Grundlach Bundschu,38,2246,2975,8239,na
41,Trinchero Estates,285,57,0,1195,468
42,Cline,330,7600,15800,5589,na
43,Rutherford Hill,80,3405,142,2235,7573
44,Benziger,2804,8597,4515,10551,17594
45,Iron Horse,25,2226,2164,24830,8597
46,Rabbit Ridge,12,1692,369,276,na
47,Groth,71,777,32,2950,na
48,Atlas Peak (william hill),10,39,3,338,5494
49,Columbia Crest,1425,1189,300,6893,na
50,Simi,370,1208,80,65,5638
51,De Loach,120,2886,836,3493,2311
52,Wente,358,5390,5536,63350,9230
53,Ivan Tamas,34,na,na,na,na
54,Markham,340,367,194,533,1
55,Matanzas Creek,56,1292,608,58262,na
56,Bonny Doon,5,7735,4583,6427,2678
57,Buena Vista,5,411,249,2095,8093
58,Geyser Peak,270,180,41,11473,2050
59,Merryvale,5,1567,501,3028,5737
60,Jekel,40,0,0,4,4
61,Fetzer,1216,143,93,5799,0
64,Layer Cake,385,10,0,7958,na
65,Paul Newman,310,,,na,na
67,Duckhorn,250,18400,21000,17736,17985
69,Ste. Michelle,2660,9209,1559,44746,54949
73,La Crema,190,20300,3308,0,0
76,Merryvale,110,1567,501,0,0
83,Snap Dragon,75,na,na,na,na
86,Chateau St Jean,618,1281,573,21622,15777
88,Jordan,60,4174,1303,0,0
90,Bearboat,54,0,0,0,0
91,Bonny Doon,45,7735,4583,0,0
97,Edna Valley,40,0,0,3308,na
100,Buena Vista,35,411,249,0,0
107,Chandon,23,10800,467,556503,na
108,Gary Farrell,20,1047,2235,3136,na
110,Chalone,10,0,0,1461,na
113,Guenoc,88,0,0,223,12
115,Dom Carneros,6,1946,1701,12008,73227
116,Villa Mount Eden,105,0,0,369,95
117,Chat Souverain,50,0,0,0,0
120,Moon Mountain,1,0,0,137,57
124,Cup Cake,3000,3568,839,379423,na
125,Menage a Trois,2295,10,0,198788,na
129,14 Hands,1020,0,0,31012,na
135,Mark West,635,493,495,46754,na
138,Edna Valley,440,0,0,0,0
139,Zabaco,375,0,0,na,na
142,Joel Gott,320,202,0,4629,na
147,Hogue Cellars,500,0,0,795,0
151,Pacific Rim,225,0,0,0,0
153,C Mondavi Krug,210,41,1,29788,0
154,St. Francis,190,8078,4613,2881,0
155,Wild Horse,175,1527,322,2317,0
160,Entwine,160,0,0,0,0
162,Rosenblum,150,877,1908,20978,0
163,Leese-Fitch,150,0,0,274,0
165,SeaGlass,135,0,0,0,0
166,Skinny Girl,135,0,0,0,0
167,Chalone,130,0,0,0,0
169,Bonterra,270,344,502,0,0
171,Kunde,120,5565,2841,4797,0
172,Eos,120,2243,562,4176,2768
173,Blackstone,110,718,39,0,0
174,Artesa,110,1855,2551,6173,0
177,Renwood,80,1792,1410,0,0
180,Concannon,515,1246,1354,0,0
182,The Other Guys,155,240,361,1077,0
187,Echelon,80,191,551,0,0
189, Aquinas (Don and Sons),40,0,0,141,0
192,Gloria Ferrer,26,6027,4001,9005,0
193,Ironstone,25,900,782,7662,9708
196,Covey Run,10,0,0,1048,71
198,Meridian,235,437,642,0,0
199,Parducci,152,2158,3100,0,0
201,Mias Playground,10,0,0,0,0
202,Rabbit Ridge,45,0,0,276,0
204,Rex Goliath,2425,0,0,62691,0
205,Bogle,1800,743,216,7305,0
207,Redwood Creek,1100,0,0,43734,0
210,Mirassou,980,0,0,71620,0
212,Apothic,900,6472,2238,149461,0
213,Toasted Head,740,265,507,88105,0
216,Smoking Loon,600,N/A,N/A,2574,0
225,Simply Naked,260,0,0,67743,0
227,Bandit Wines,235,1298,864,32148,0
231,The Dreaming Tree,210,2126,2303,99499,0
234,Round Hill,415,0,0,6,84
235,Redtree,165,10,7,1897,0
236,Little Black Dress,160,0,0,13773,0
237,Forest Glen,150,0,0,na,0
238,Primal Roots,150,0,0,1367,0
242,Ste Chapelle,165,0,0,5742,5064
246,Ironstone,100,900,782,7663,9710
248,St. Francis,80,8078,4613,28881,0
249,Parducci,73,2157,3100,3707,0
250,Covey Run,70,0,0,1048,71
252,Camelot,65,2852,32400,131,0
253,Columbia,60,0,0,4646,0
256,Dunnewood,50,0,0,6,16
259,Sterling,45,675,459,113624,36422
263,Chat Souverain,30,0,0,0,0
264,Zabaco,30,0,0,0,0
265,Talus,20,0,0,0,0
266,Stone Creek,10,0,0,0,0
267,Barefoot,14900,0,0,637251,0
268,Robert Mondavi Woodbridge,8190,0,0,0,0
269,Sutter Home,10770,3235,4609,411624,9792
270,Beringer,2455,0,0,0,0
271,Vendange,1705,0,0,0,0
272,Glen Ellen (concannon),1100,0,0,0,0
273,C Mondavi Krug,965,0,0,0,0
274,E & J Turning Leaf,950,0,0,0,0
275,Stone Cellars (beringer),910,0,0,0,0
276,Columbia Crest,675,0,0,0,0
277,Canyon Road,635,0,0,0,0
278,Gnarly Head,625,0,0,109676,0
279,Pepperwood Grove,490,0,0,391,0
280,San Antonio,460,3296,1291,15750,6458
281,Twisted,375,0,0,88590,0
282,Meridian,305,0,0,0,0
283,Fetzer,300,0,0,0,0
284,Delicato,300,0,0,400,3850
285,Noble Vines,300,0,0,0,0
289,Trinity Oaks,150,0,0,0,0
290,Callaway,140,0,0,0,0
291,Camelot,115,0,0,0,0
292,Forest Glen,100,0,0,0,0
293,Blackstone,95,0,0,0,0
294,Ste Michelle,85,0,0,0,0
296,Heritage,55,0,0,0,0
297,Bel Arbors,55,0,0,0,0
299,Talus,50,0,0,0,0
301,Covey Run,40,0,0,0,0
303,Domaine St. George,40,0,0,0,0
304,Stone Creek,30,0,0,0,0
305,Coast Vintners,25,0,0,0,0
308,Forstville,10,0,0,0,0
311,Arbor Mist,3630,1025,747,1031153,0
312,Corbett Canyon,3470,0,0,0,0
313,Black Box,2780,476,877,52213,0
314,Bota Box,2050,1829,693,147267,0
315,Liberty Creek,2045,na,na,0,0
316,Foxhorn,2020,0,0,0,0
318,Tisdale,1310,0,0,422,0
319,Crane Lake,1225,na,na,555,na
320,Vendange,1150,na,na ,na,na
321,Glen Ellen (benziger),855,0,0,0,0
322,Copperidge,830,0,0,2,0
323,Big House,735,3494,973,1493,0
324,FlipFlop,700,0,0,773000,0
325,Sycamore Lane,695,0,0,0,0
326,Wild Vines,660,0,0,0,0
327,Mogen David,600,0,0,4,2
328,Forestville,575,0,0,0,0
329,Paul Masson,520,0,0,3,143
330,Nathanson Creek,390,0,0,,
331,Taylor,360,0,0,1912,2290
332,Taylor NY,275,0,0,0,0
333,Burlwood,175,0,0,2,0
334,Beringer,140,0,0,0,0
335,Columbia Crest,75,0,0,0,0
